code,acronym
OT1005,GRIP
OT1004,UKBTS
OT1003,NIJAO
OT1002,DETR
OT1001,BSC
OT1000,FHEFCW
OT999,NRI
OT998,ENW
OT997,HMMCSI
OT996,BBS
OT995,ITC
OT994,LAB
OT993,DNH
OT992,CBDE
OT991,WDA
OT989,SHT
OT988,AMBS
OT987,NMS
OT980,PCFC
OT979,ODPR
OT978,
OT977,OT
OT976,OLO
OT975,NCC
D974,EAD
PB973,CT
OT971,PSAHSC
PC970,RM
OT968,PFR
OT966,HIP
OT964,CS
OT962,PPSNI
OT961,
EA960,YPLA
EA959,NWDA
OT958,MKR
OT957,EIS
EA956,QCDA
EA955,OTSL
OT953,SITPRO
OT950,COS
EA949,APA
OT947,IPC
OT946,RTO
OT945,OHPA
OT941,OCPAUIA
OT940,OCRTUM
OT938,SFT
OT937,NILC
OT936,MLAC
OT935,NIPF
EA934,TSA
OT933,NR
EA932,BECTA
OT930,WVUK
EA929,NCSL
OT928,
EA927,AWM
OT926,CMEC
EA924,PDCS
EA923,YF
EA922,NBL
EA921,ONE
EA920,NWRDA
EA919,SEEDA
EA918,SWERDA
EA917,EEDA
OT916,LBRO
OT915,CWDC
OT914,ISA
OT913,PCNI
EA912,EMDA
OT911,BS
OT910,
OT909,CC
OT908,WAO
OT906,POB
EA904,NPIA
OT903,PADA
OT902,HDC
EA901,RFA
EA900,AH
OT899,NHSIC
OT897,PMETB
OT896,IPUK
OT895,SBE
OT893,DC
OT891,NSG
OT890,CRC
OT889,HC
OT887,BPC
OT886,ESC
OT885,IPS
EA884,DVA
EA883,DBA
EA882,PPPA
OT880,NIJAC
EA879,RS
OT878,BFPO
OT877,LSRC
OT876,MLC
OT875,PPARC
EA874,EP
EA873,MHS
OT872,PSD
OT871,EU
PB870,FSPB
OT869,WI
OT868,NMGNI
OT867,RCPO
OT866,WHSSB
OT865,EHSSB
OT864,SHSSB
OT863,NHSSB
OT862,LA
EA860,NPSA
OT859,SVS
OT858,WELB
OT857,SEELB
OT856,NIPEC
D854,DEL
D853,DCAL
OT852,NOF
OT851,MDC
OT850,UKFC
OT849,LMCNI
EA848,DTMA
EA847,ASA
OT846,COI
OT845,PS
EA844,UKGDS
EA843,MFA
PB842,CABE
OT841,CCLRC
OT840,TTGDC
OT838,NICCYP
OT837,CICAP
EA836,DMETA
EA835,HC
OT834,PSC
EA833,EN
EA832,PITO
OT831,RS
EA830,GCDA
EA829,CICAPNI
OT828,NIO
OT827,OLSO
OT826,PLRO
OT825,FS
OT824,CSCI
EA823,DSA
OT822,CPPIH
EA821,CSL
OT820,NITB
OT819,CPTDA
OT818,DCS
OT817,OGC
EA816,ABRO
OT814,CHRE
EA813,DCSA
OT812,FSS
OT811,HMICA
EA810,NICSA
OT809,GCCNI
EA808,DVTA
OT807,FCBNI
OT806,PPA
OT805,NHSP
OT804,NHSLA
OT803,NHSIII
OT802,NHSDNHST
OT801,NHSAC
OT800,MHAC
OT799,DVTA
OT798,DPB
EA797,NIPS
OT796,BDS
OT795,SEUPB
OT794,SRA
OT793,FB
EA792,HPA
EA791,NIHSSEA
EA790,TDAS
EA789,DSDA
EA788,EHS
OT787,FLA
OT786,ALI
EA785,DPA
EA784,VLA
OT783,NILSC
OT781,NEELB
OT780,CJNI
OT779,ECNI
OT778,CCMS
OT775,UKT
OT774,NBA
OT773,DR
OT772,CJINI
EA771,BRE
OT770,NISCC
OT769,AOP
EA765,LSC
EA764,SSC
OT762,SAC
OT761,NIAER
OT760,CDF
OT759,FANI
OT758,NILGOSC
OT757,HGCA
EA756,SSA
OT754,CAHRB
D753,DARD
EA752,LRA
OT751,SCELB
D750,DETI
OT749,OFMDFM
D748,DSD
D747,DRD
D746,DHSSPS
OT745,OOC
OT744,OCEONI
OT743,CF
OT742,HMCE
OT741,GSCC
EA740,ACNI
EA735,WSA
OT734,SCW
OT733,GECCE
OT732,CCPS
OT731,ACW
OT730,NRPB
EA729,CA
OT727,PCA
OT726,CRB
EA725,NICS
OT724,HAC
OT723,NPS
OT721,AERC
OT720,DISC
OT719,MC
OT718,UKPS
EA717,DATA
EA716,NHSPSA
EA715,GTCE
OT714,PS
OT713,DE
OT712,NWML
OT711,DRC
OT710,EOC
OT709,NHSE
EA707,CA
EA706,AFPAA
EA705,MSA
EA704,NCIS
OT703,NCS
EA701,NISRA
EA700,LRNI
EA698,ARA
EA697,YJANI
EA696,FSNI
EA695,OSNI
OT694,SCNI
EA693,MDPGA
EA692,NTASM
OT691,FHSAA
OT690,CFSMS
EA689,WSNI
OT688,SRC
EA687,VLA
OT686,HMIENI
EA685,DASA
OT683,CHI
OT681,HCCMPW
OT676,CRE
EA675,NISSA
OT661,PCPF
EA660,PHLSB
OT659,PBNI
OT658,NESTA
OT657,PSNI
EA656,NBSB
OT649,NIPB
OT644,NICCEA
OT642,SS
OT636,OPONI
OT634,NIAO
EA633,NHSPA
D631,DIR
EA630,RA
OT629,NCSC
OT627,PAC
OT626,GBGB
EA624,QCA
OT619,IRPOSRC
OT618,OHMPG
OT616,IRUKPSS
OT615,IMC
OT614,SC
OT612,SLC
D611,DBERR
OT610,OCJR
D609,DCSF
D608,DIUS
OT606,RCEP
D605,DFPNI
OT604,RBNOHP
EA601,HMCS
OT600,OLSCC
D598,DCA
D595,LCD
OT594,BIR
OT593,RCCJ
OT592,MMC
D591,DENI
OT590,WO
OT589,APC
OT588,FCC
D587,DCA
D586,DTI
D585,DENI
D584,DSS
D583,DES
D582,SO
OT581,QHM
PB580,NCARRB
OT579,ICE
PB578,SSRC
PB577,GACS
PB576,CTCFCPE
PB575,ACMSF
PB574,ACNFP
PB573,ACAF
OT572,WH
PB571,
EA570,DVSA
OT569,BRDO
OT567,CPNI
OT566,OPS
OT565,MBI
OT564,BV
OT563,CESG
OT559,HUK
PB558,NCA
OT557,ECO
EA556,LAA
OT555,GOS
OT554,UKVI
OT553,ORCIC
OT552,SCC
OT551,GCA
D550,CMA
OT549,GEM
OT548,BC
OT547,YDNPA
OT546,SDNPA
OT545,PDNPA
OT543,NNPA
EA541,NCTL
OT540,IUK
OT539,HEE
OT538,HSCIC
OT537,DPMO
OT536,FSR
OT535,BF
PB534,ASC
OT533,BH
OT532,PMO
PB531,NHSPRB
PB530,RBDDR
OT529,BSA
PB527,IRP
PB526,CMCFCPE
PB525,CHM
PB524,BPC
PB523,ARSAC
OT522,ACCEA
PB521,IPT
OT520,BIT
OT519,TPHSO
OT518,TMKC
OT517,CPA
PB516,CPRC
OT515,OPC
OT514,OLEV
OT513,ICC
OT512,ISC
OT511,IRTL
PB510,SMCPC
PB509,DBS
PB508,BTRBGK
OT507,ERG
OT506,GEO
OT505,
OT504,CFRA
PB503,LGO
OT502,OLS
PB501,WNDC
PB500,TSE
OT498,JFC
OT496,DIO
OT495,DES
OT494,AC
PC493,LCRL
OT492,CSP
PB491,APPSI
OT486,NHSBT
OT484,NHSTDA
OT483,HRA
PB481,NHSE
EA480,PHE
PB477,RBGC
PB474,NIHCE
PC472,MAIB
PC469,CAA
PC468,
PC467,BRBRL
PB466,RHC
PB465,TCGB
PB464,PF
PB463,NLB
PB462,TH
PB461,BTPA
PB460,HS2
PB459,DORL
PB458,PNB
PB457,OSC
PB456,IPCC
PB448,TPC
PB446,PSPRB
PB445,IRC
OT444,IMBPIRCSTHR
PB443,IAPDC
PB442,FPRC
PB441,FJC
PB440,CPRC
PB438,ACNRA
PB437,ACJP
PB436,AJTC
D435,SCUK
PB434,RMAC
OT433,AO
OT432,BCW
OT431,BCS
OT430,PCNI
OT429,NIHRC
OT428,BCNI
PC427,BBCWS
PB426,GBCC
OT425,DWI
PB423,PVST
PB421,ADHAC
PB420,AWC
PB415,NFC
PB414,STRB
PB413,OCC
OT411,DSFC
OT409,RNSM
OT408,DPBAC
OT406,SPA
OT405,DAUK
OT404,SCC
PB403,VAPC
PB402,SACMILLW
PB401,OPA
PB400,NRAC
PB399,NEAB
PB397,DSAC
PB396,DNSC
PB395,CACPC
PB394,AFPRB
PB393,AGMM
PB392,ACCO
PC390,HLFNHMF
PC389,HRP
PC388,BBC
PC387,S4C
PC386,
OT385,
PB383,TVC
PB382,RCEWAOCI
PB380,TT
PB378,VAM
PB377,UKAD
PB376,VE
PB375,VTS
PB374,LTGDC
PB373,LAS
PB372,HO
PB368,SSRB
PB367,SVAP
PB366,CSC
EA365,GPS
OT360,UKGIB
PB358,LRRC
PB357,EGAC
PB356,CF
PB355,CT
PB354,RPC
PB353,CC
D352,OFT
PB350,
PB349,ILF
PB348,PPF
OT347,HMCPS
PC343,AC
OT342,PCO
IM341,HLAC
PB337,BCE
PB336,ACBA
IM335,ICAI
IM333,JACO
IM332,LSB
IM329,TLO
OT328,OSPT
IM327,PPO
PB326,VC
IM325,HMIP
IM324,HMIP
EA321,HMPS
IM320,CCRC
PB318,CS
PB317,BBSRC
OT316,WFD
OT315,MACC
OT313,BC
PB311,FAAM
PB310,RMM
PB308,RAFM
PB307,NAM
OT306,GCHQ
OT305,SIS
OT304,TSS
D303,ONS
PB302,YJB
PB301,PB
PB300,LSC
PB299,JAC
PB298,ICO
PB297,CICA
PB296,VAP
PB295,SCEW
PB294,LC
PB293,CJC
PB291,RMG
PB290,NMRN
OT284,ICIBI
PB278,PDAT
PB277,PAT
PB276,NDNADEG
PB275,MAC
PB274,TAB
PB273,PABEW
PB271,ACMD
PB270,IPT
OT269,EHRC
PB266,OME
PB265,SOCA
PB264,SIA
PB263,OISC
OT261,OTS
PB260,OBR
PC259,UKFIL
PB257,FCC
PB255,
PB254,HTA
PB253,HFEA
PB251,CQC
OT249,RAIB
OT248,AAIB
PB247,DPTAC
PB246,CFCASS
EA243,STA
EA242,EFA
D241,UKEF
D240,WSRA
OT237,NESTNESTC
PB236,PO
PB235,PPFO
PB234,TPR
PB233,PAS
PB232,SSAC
PB231,IIAC
PB230,
PB226,CSCUK
OT223,NYMNPA
OT222,NFNPA
OT220,LDNPA
OT219,ENPA
OT217,DNPA
OT216,BA
OT214,CGMA
PB212,VPC
PB211,SAC
PB210,IAAP
PB209,ACRE
PB208,ACP
PB207,HSE
OT205,SFIA
OT204,AHDB
PB202,NE
PB201,JNCC
EA199,EA
PB198,CCW
PB197,NDA
PB196,CCC
PB195,CA
